Title,Year,Quote,Trans

Sholay,Release Year - 1975,"Gabbar ke taap se tumhe ek hi aadmi bacha sakta hai, ek hi aadmi ... khud Gabbar","Only one man can save you from Gabbar's anger, only one man ... Gabbar himself"

Sholay,Release Year - 1975,Basanti in kutto ke samne mat nachna,Basanti don't dance in front of these dogs

Sholay,Release Year - 1975,Tumhara naam kya hai Basanti?,"Basanti, what is your name?"

Sholay,Release Year - 1975,Arrey oh Sambha ... kitna inaam rakhe hai sarkar ham par?,Hey Sambha ... how much price money has the government kept on me?

Don (1978),Release Year - 1978,Don ka intezaar toh gyarah mulkon ki police kar rahi hai,Police from eleven countries are also waiting for Don

Don (1978),Release Year - 1978,Yeh tum janti ho ki yeh revolver khali hai ... main janta hoon ki yeh revolver khali hai ... lekin police nahin janti ki yeh revolver khali hai,You know that this revolver is empty ... I know that this revolver is empty ... but police does not know that this revolver is empty

Don (1978),Release Year - 1978,Don ko pakadna mushkil hi nahin ... namumkin hai,Catching Don is not only hard ... it's impossible

Don (1978),Release Year - 1978,Mujhe do tarah ki ladkiyan pasand nahi aati ... ek woh joh mere pass aane mein bahut derr lagaye ... aur ek woh joh bahut jaldi aa jaye,I don't like girls of two types ... one who takes a lot of time to come to me ... and the other who comes to me very quickly

Devdas (2002),Release Year - 2002,"Babuji ne kaha gaon chhod do ... sab ne kaha Paro ko chhod do ... Paro ne kaha sharab chhod do ... aaj tumne keh diya haweli chhod do ... ek din aayega jab woh kahenge, duniya hi chhod do","Dad said to leave the town ... everyone said to leave Paro ... Paro said to leave alcohol ... today you said leave the mansion ... one day will come when they will say, to leave the world itself"

Devdas (2002),Release Year - 2002,"Kaun kambakht bardaasht karne ko peeta hai ... hum toh peete hai ki yahan par baith sake, tumhe dekh sake, tumhe bardaasht kar sake","Who the hell drinks to tolerate ... I drink so that I can sit here, so that I can see you, so that I can tolerate you"

Devdas (2002),Release Year - 2002,"Apne hisse ki zindagi toh hum jee chuke Chunni babu, ab toh bus dhadkano ka lihaaz karte hai ... kya kahen yeh duniya waalo ko joh, aakhri saans par bhi aitraaz karte hai","Mr. Chunni I have lived my part of the life, now I am just there for the sake of my heartbeats ... what to say to these people of the world, who disagree even on my last breathe"

Devdas (2002),Release Year - 2002,Dil ke chaalon ko koi shayari kahe toh parwah nahi ... takleef toh tab hoti hai jab koi wah wah wah karta hai,I don't care when someone calls the heart sores as poetry ... but it bothers when they praise it

Om Shanti Om,Release Year - 2007,Kehte hain agar kisi cheez ko dil se chaho ... to puri kainaat usse tumse milane ki koshish mein lag jaati hai,It is saying that if you really desire something from the heart ... then the whole universe will work towards getting you that

Om Shanti Om,Release Year - 2007,Itni shiddat se maine tumhe paane ki koshish ki hai ... ki har zarre ne mujhe tumse milane ki saazish ki hai,"I have wanted you so much, so truly ... that the entire universe has conspired for me to get you"

Om Shanti Om,Release Year - 2007,Picture abhi baaki hai mere dost,Movie is still not over my friend

Om Shanti Om,Release Year - 2007,Ek chutki sindoor ki keemat tum kya jaano Ramesh babu ... ishwar ka aashirwad hota hai ek chutki sindoor ... suhagan ke sarr ka taj hota hai ek chutki sindoor ... har aurat ka khwab hota hai ek chutki sindoor,"Mr. Ramesh, you don't know the value of one pinch of vermilion ...  one pinch of vermilion is the blessing of God ... one pinch of vermilion is the crown of a married woman ... one pinch of vermilion is the dream of every woman"

Chak De India,Release Year - 2007,"Peeche se nahi mardo ki tarah aage se ladoo ... woh kya hai, hamari hockey mein chakke nahi hote","Not from the back, fight like a man from the front ... it's because our hockey cannot have eunuch"

Chak De India,Release Year - 2007,Mujhe states ke naam na sunai dete hai na dikhai dete hai ... sirf ek mulk ka naam sunai deta hai I-N-D-I-A,I can't hear nor see name of the states ... I can only hear one country name I-N-D-I-A

Chak De India,Release Year - 2007,Vaar karna hai toh samne waale ke goal par nahi ... samnewaale ke dimag par karo ... goal khud-ba-khud ho jayega,"If you want to attack, don't attack the opponents goal ... attack the opponents mind ... the goal will come by itself"

Chak De India,Release Year - 2007,"Sattar minute, sattar minute hai tumhare paas ... shayad tumhari zindagi ke sabse khaas sattar minute ... aaj tum achcha khelo ya bura, yeh sattar minute tumhe zindagi bhar yaad rahenge ... toh kaise khelna hai aaj main tumhe nahi bataonga ... bas itna kahoonga ke jao aur yeh sattar minute jee bharkar khel lo ... kyun ki iske baad aane waali zindagi mein, chahe kuch sahi ho ya na ho, chahe kuch rahe ya na rahe, tum haaro ya jeeto ... lekin yeh sattar minute tumse koi nahi cheen sakta, koi nahi ... toh maine socha ki is match mein kaise khelna hai aaj main tumhe nahi bataonga, balki tum mujhe bataoge khel kar ... kyun ki main jaanta hoon ki agar yeh sattar minute is team ka har player apni zindagi ki sabse badiya hockey khel gaya ... toh yeh sattar minute khuda bhi tumse vapas nahi maang sakta ... toh jao, jao aur apne aap se, is zindagi se, apne khuda se aur har us insaan se jisne tumhe tum par bharosa nahi kiya apne sattar minute cheen lo","Seventy minutes, seventy minutes is what you have ... may be the most important seventy minutes of your life ... whether you play good or bad today, you'll remember these seventy minutes for your entire life ... so I won't tell you today how to play ... but I'll only say that go and play these seventy minutes with your full heart ... because in life after this, whether anything is right or wrong, whether anything remains or not, whether you win or lose ... no one will be able to snatch these seventy minutes from you, no one ... so I thought that in this match today I won't tell you how to play, instead you'll show me that by playing ... because I know that if every player of this team plays the best hockey of their life in these seventy minutes ... then even god can't ask for these seventy minutes back from you ... so go and snatch these seventy minutes from yourself, from your life, from your god and from every person who didn't believe in you"

Shahenshah,Release Year - 1988,Mujhe malum hota aaisa kalank mere ghar mein pehda hone waala hai ... toh main apne nakhoono se apni kok phad dalti,If I knew that such a disgrace is going to be born in my house ... then I would have torn apart my womb with my nails

Shahenshah,Release Year - 1988,Chaand ko apni chaandni sabit karne ke liye ... chiragon ki shahadat ki zaroorat nahi padhti,To prove its moonlight the moon does not need ... the testimony of light

Shahenshah,Release Year - 1988,Rishtey mein to hum tumhare baap hote hai ... naam hai Shahenshah,In relation I am your father ... my name is Shahenshah

Shahenshah,Release Year - 1988,"Main kanoon ka baazu nahi khud kanoon banonga ... aur aaisa kanoon joh khud mujrimo ko pakdega, khud mukadma sunega ... aur unka faisla bhi khud karega","I am not the arm of the law, I am myself the law ... such a law which itself catches the criminals, itself listens to the case ... and itself will decide on it"

Kuch Kuch Hota Hai,Release Year - 1998,"Pyar dosti hai ... agar woh meri sab se achchi dost nahin ban sakti, to main usse kabhi pyar kar hi nahi sakta ... kyun ki dosti bina toh pyar hota hi nahin ... simple, pyar dosti hai","Love is friendship ... if she can't be my best friend, then I cannot fall in love with her ... because love cannot happen without friendship ... simple, love is friendship"

Kuch Kuch Hota Hai,Release Year - 1998,"Hum ek baar jeete hai, ek baar marte hai, shaadi bhi ek baar hoti hai ... aur pyar ek baar hi hota hai","We live once, we die once, we get married once ... and love also happens only once"

Kuch Kuch Hota Hai,Release Year - 1998,"Jabse tumne pyar ko samjha hai, pyar ko jana hai ... sirf us hi se pyar kiya hai","Ever since you have understood love, known love ... you've only loved him"

Kuch Kuch Hota Hai,Release Year - 1998,"Kuch kuch hota hai Rahul, tum nahi samjhoge","Something something happens Rahul, you won't understand"

Jab We Met,Release Year - 2007,Main apni favorite hoon,I am my own favorite

Jab We Met,Release Year - 2007,Jab koi pyar mein hota hai ... toh koi sahi galat nahin hota,When someone is in love ... then there is no right wrong

Jab We Met,Release Year - 2007,Ab toh mera haath chhod do ... itni bhi sundar nahin hoon main,Atleast leave my hand now ... I am not that beautiful

Jab We Met,Release Year - 2007,Tu original piece hai,You are an original piece

Anand,Release Year - 1971,"Babumushoi, zindagi badi honi chahiye ... lambi nahin","My friend, life should be big ... not long"

Anand,Release Year - 1971,"Babumushoi, zindagi aur maut upar waale ke haath hai ... usse na toh aap badal sakte hai na main ... hum sab to rangmanch ki kathputliyan hai jinki dor upar waale ki ungliyon mein bandhi hai","My friend, life and death is in the hands of God ... you can't change it and neither can I ... we all are puppets of the theater whose string is tied in the fingers of God"

Anand,Release Year - 1971,Jab tak zinda hoon tab tak mara nahi ... jab mar gaya sala main hi nahi,Until I am alive I am not dead ... when I die bloody I won't be there

Anand,Release Year - 1971,Hum aane waale gham ko kheench taan kar aaj ki khushi pe le aate hai ... aur us khushi mein zehar ghol dete hai,We stretch and pull the sadness of the future and bring it onto today's happiness ... and we mix poison in that happiness

Baazigar,Release Year - 1993,Kabhi kabhi jeetne ke liye kuch haarna bhi padta hai ... aur haar kar jeetne waale ko baazigar kehte hai,Sometimes to win you must lose something ... and one who wins from a losing position is called a gambler

Baazigar,Release Year - 1993,Udne ki baat parinde karte hai ... tutte huye par nahi,Birds talking about flying ... not broken wings

Baazigar,Release Year - 1993,Ab sailaab aayega Madan Chopra ... sailaab aayega,Now flood will come Madan Chopra ... flood will come

Baazigar,Release Year - 1993,Burai milne mein nahi hai ... burai chup chupkar milne mein hai,It is not bad to meet ... it is bad to meet in hiding

Chalte Chalte (2003),Release Year - 2003,Yaad rakhna ki duniya ke kisi kone mein ek aadmi hai joh bahut khush hai ... kyun ki tum khush ho,Remember in some corner of the world there is a person who is very happy ... because you are happy

Chalte Chalte (2003),Release Year - 2003,Agar main uthata toh tum jaag jaati ... agar tum jaag jaati toh chali jaati ... aur agar chali jaati toh main itna kareeb se tumhe kab dekhta,If I'd woke you up then you would have awakened ... if you would have awakened then you would have left ... and if you would have left then I wouldn't have been able to see you from so close

Chalte Chalte (2003),Release Year - 2003,Mujhe andhar aane ke liye mat kehna ... tumhe na nahi keh paonga ... andhar bhi nahi aa paonga,Don't ask me to come inside ... I won't be able to say no to you ... neither would be able to come inside

Chalte Chalte (2003),Release Year - 2003,Mujhe nahi malum business kaise hota hai ... magar pyar toh aaise hi hota hai,I don't know how business is done ... but love is done this way only

Damini,Release Year - 1993,"Tarikh par tarikh, tarikh par tarikh, tarikh par tarikh, tarikh par tarikh milti rahi hai ... lekin insaaf nahi mila my lord, insaaf nahi mila ... mili hai toh sirf yeh tarikh","Date on date, date on date, date on date, we have got date on date ... but we haven't received justice my lord, no justice ... all we have got is this date"

Damini,Release Year - 1993,Jab yeh dhai kilo ka haath kisi pe padta hai na ... toh aadmi uthta nahi ... utth jata hai,When this two and half kg hand will fall on someone ... then he won't get up ... he will go straight up

Damini,Release Year - 1993,Waqt pe shaadi na karo ... toh aadmi bahek hi jaata hai,If you don't get married in time ... then a man gets wandered

Damini,Release Year - 1993,Aaise khilone bazaar mein bahut bikte hai ... magar isse khelne ke liye joh jigar chahiye na ... woh duniya ke kisi bazaar mein nahi bikta ... mard usse lekar pehda hota hai,Toys like this sell a lot in the market ... but the courage that you need to play with them ... is not sold in any market of this world ... a man is born with that

Darr,Release Year - 1993,I love you KKKKK ... Kiran,I love you KKKKK ... Kiran

Darr,Release Year - 1993,Sachchi mohabbat ko pechaanne ke liye aankhon ki nahi ... dil ki zaroorat hoti hai,To recognize true love you don't need eyes ... you need a heart

Darr,Release Year - 1993,Naam loonga toh woh badnaam ho jayegi,If I take her name she will get disgraced

Darr,Release Year - 1993,"Joh taar se nikli hai, woh dhun sabne suni hai ... joh saans pe ghuzri hai, woh kis dil ko pata hai","The one that comes out of a string, everyone has heard that music ... the thing that my breathe has gone through, no ones heart knows about that"

Deewaar (1975),Release Year - 1975,Main aaj bhi phenke hue paise nahin uthata, Even today I don't collect money that is thrown

Deewaar (1975),Release Year - 1975,Mere paas maa hai,I have mom

Deewaar (1975),Release Year - 1975,Aaj khush to bahut hoge tum?,Today you will be very happy right?

Deewaar (1975),Release Year - 1975,"Koi is liye pee raha hai ki din bhar kaam kiya, thak gaye ... koi is liye pee raha hai ki aaj din bhar kuch nahi kiya, bore ho gaye ... koi is liye pee raha hai ki aaj doston ke saath hai ... aur koi is liye pee raha hai ki aaj dost saath nahi",Someone is drinking because they've worked for the entire day and are tired ... someone is drinking because they didn't do anything today and are bored ... someone is drinking because they are with friends today ... and someone is drinking because today their friends are not with them

Dhadkan,Release Year - 2000,Main tumhe bhool jaon yeh ho nahi sakta ... aur tum mujhe bhool jao yeh main hone nahi doonga,Me forgetting you is never going to happen ... and you forgetting me I won't let that happen

Dhadkan,Release Year - 2000,"Joh izzat, shradha, pyar ek beti de sakti hai ... woh ek beta kabhi nahi de sakta ... lekin main yeh bhool gaya tha ... joh sharmindgi, joh zalalat ek beti de sakti hai ... woh bhi ek beta kabhi nahi deta","The respect, faith, love a daughter can give ... a son can never give that ... but I had forgotton that ... the shame, the disgrace a daughter can give ... even that a son can never give"

Dhadkan,Release Year - 2000,Kyun main jeet ke bhi haar gaya ... aur woh haar kar bhi jeet gaya?,Why did I lose even after winning ... and why did he win even after losing?

Dhadkan,Release Year - 2000,Meri kismat mujhpe kya rohegi ... tumhari mohabbat joh mere saath hai,My destiny can't cry on me ... your love is there with me

Fanaa,Release Year - 2006,"Humse door jaoge kaise, dil se hum mein bhulaoge kaise ... hum woh khushboo hai joh saason mein bastein hai, khud ki saason ko rok paoge kaise","How can you stay away from me and go, how can your heart forget me ... I am that fragrance which lives in the breath, how will you stop your breath"

Fanaa,Release Year - 2006,Kehte hai pyar mein neend udh jaati hai ... koi humse bhi mohabbat kare ... kambhakt neend bahut aati hai,They say one can't sleep in love ... I wish someone loved me to ... bloody I am very sleepy

Fanaa,Release Year - 2006,Tere dil mein meri saanson ko panaah mil jaye ... tere ishq mein meri jaan fanaa ho jaye,If my breath found a place in your heart ... I can get destroyed in your love

Fanaa,Release Year - 2006,Phool hoon gulaab ka chameli ka mat samajhna ... aashiq hoon aapka apni saheli ka mat samajhna,Don't judge me as jasmine I am a rose flower ... don't judge me as your friends lover I am yours

Hum Dil De Chuke Sanam,Release Year - 1999,Agar tum mujhe yun hi dekhti rahi ... toh tumhe mujhse pyar ho jayega,If you keep looking at me like this only ... then you will fall in love with me

Hum Dil De Chuke Sanam,Release Year - 1999,Sameer hawa ka jhoka,Sameer a gust of air

Hum Dil De Chuke Sanam,Release Year - 1999,Kabhi kabhi insaan kuch nahi kehkar bhi ... sab kuch keh deta hai,Sometimes a person without saying anything ... says everything

Hum Dil De Chuke Sanam,Release Year - 1999,Chahane aur haasil karne mein bahut phark hai ... pyar sirf haasil karna nahi ... pyar dene ka naam hai,There is big difference between wanting and getting something ... love is not only about getting ... love is also about giving

Kalicharan,Release Year - 1976,Aaj ke zamaane mein toh baimaani hi ek aaisa dhanda reh gaya hai ... joh poori imaandari ke saath kiya jaata hai,In today's world cheating is the only one business that is left ... which is done with full honesty

Kalicharan,Release Year - 1976,Sara shehar mujhe lion ke naam se jaanta hai,The whole city knows me by the name of lion

Kalicharan,Release Year - 1976,Jhoot aksar bahut aasani se gaale se neeche utar jaata hai ... sach ko nighalna bahut kathin hai,A lie can be swallowed pretty easily ... but it is very hard to swallow the truth

Kalicharan,Release Year - 1976,Aashirwad toh bade aadmi dete hai ... hum toh sirf rai de sakte hai,Big people give blessings ... I can only give an opinion

Maine Pyar Kiya,Release Year - 1989,"Udaas hona, yun akele mein rona ... is injurious to health, sehat ke liye hanikarak hota hai",To be sad and crying in alone ... is injurious to health

Maine Pyar Kiya,Release Year - 1989,"Dosti ka ek oosul hai madam ... no sorry, no thank you","Friendship has one rule madam ... no sorry, no thank you"

Maine Pyar Kiya,Release Year - 1989,Dosti ki hai nibhani toh padegi hi,If friendship is there then one must fulfil it

Maine Pyar Kiya,Release Year - 1989,Abhi mood nahin hai,I am not in the mood

Mr. India,Release Year - 1987,Mogambo khush hua,Mogambo is happy

Mr. India,Release Year - 1987,Indian God marta hai ... aur hasta bhi hai,Indian God hits ... and laughs also

Mr. India,Release Year - 1987,Gayi bhains pani mein,The buffalo went in the water

Mr. India,Release Year - 1987,Aaj tak tum log baimaani aur zulm ka bazaar garam karte rahe ... magar ab tumhare zulm aur paap ke pyale chalak uthe hai ... ab tumhare ek ek jurm ka hisaab liya jayega,Till today you guys have been heating up the market of dishonesty and injustice ... but now your bowls of injustice and sin are full ... and now every single crime of yours will be accounted for

No Entry,Release Year - 2005,Kutta jab gaadi ke peeche bhaagta hai toh ... usko gaadi khareedni hai yah chalani hoti hai?,When a dog runs behind a car then ... does he want to buy the car or drive it?

No Entry,Release Year - 2005,Meri toh har raat suhaag raat hoti hai,Every night of mine is a nuptial night

No Entry,Release Year - 2005,Jab ek aurat se itna dukh utha liya ... toh doosri aurat se thoda sa sukh uthana yaar,Since you've taken so much grief from one woman ... hence take a little bit of enjoyment from another woman

No Entry,Release Year - 2005,"Aapka dimaag cassette ki tarah dono taraf chalta hai ... A side bhi, B side bhi","Your mind works from both sides like a cassette ... from A side, and from B side"

Pardes,Release Year - 1997,"Nadi, nadi nahin jismein pani na ho ... hawa, hawa nahi jismein ravani na ho ... woh shaadi, shaadi nahi jismein prem kahani na ho",A river is not a river without water in it ... the wind is not the wind without the flow in it ... a marriage is not a marriage without a love story in it

Pardes,Release Year - 1997,Jab aadmi daulat aur taqat ki wajah se jitna bada hota jaata hai ... utna hi sach aur asliyat se door hota jaata hai,The bigger a man gets by money and power ... the farther he gets from truth and reality

Pardes,Release Year - 1997,Joh sach sunna chahte hai ... woh apni jeb mein pistol aur dil mein nafrat lekar nahi aate,Those who want to listen to the truth ... they don't come with a gun in their pocket and hatred in their heart

Pardes,Release Year - 1997,"Agar Ganga ki hifazat karna pyar hai ... toh hai, pyar hai aur hamesha rahega","If protecting Ganga is love ... then yes, I love her and will always love her"

Raja Babu,Release Year - 1994,Main hoon Nandu sabka bandhu,I am Nandu and everyone's friend

Raja Babu,Release Year - 1994,Samajhta nahi hai yaar,Why don't you understand my friend

Raja Babu,Release Year - 1994,Kar bhala toh ho bhala,If you do good then good things will happen to you

Raja Babu,Release Year - 1994,Jis saanp ko main sari zindagi apna khoon pilata raha ... us saanp ne aaj mujhko dassa hai,The snake that I fed my blood lifelong ... today that snake has bit me

Rehnaa Hai Terre Dil Mein,Release Year - 2001,Ek ladki dekhi bilkul bijli ki tarah ... one flash ... ek chamak aur main apna dil kho behta ... mujhe lagta hai mujhe us ladki se behad pyar ho gaya hai ... bas ab ek hi tamanna hai ... rehna hai uske dil mein,I saw a girl just like lightning ... one flash ... one shine and I lost my heart ... I think I am completely in love with that girl ... now there is only one wish ... that I want to stay in her heart

Rehnaa Hai Terre Dil Mein,Release Year - 2001,"Kuch mulaqatein yaadein chhod jaati hai ... aur kuch vaade ... aur kuch aaisi bhi hoti hai, jinke hone se ek nahi shuruvat ka ehsaas hota hai","Some meetings leave behind memories ... and some promises ... and some are also like, their presence gives a feeling of a new beginning"

Rehnaa Hai Terre Dil Mein,Release Year - 2001,Sachcha pyar kabhi khali haath wapas nahi aata hai,True love never comes back empty handed

Rehnaa Hai Terre Dil Mein,Release Year - 2001,Jis din insaan duniya ki kisi bhi ladki ko samajh gaya na ... us din duniya swarg ban jayegi,The day a man understands any girl in this world ... that day this world will become heaven

Sarkar,Release Year - 2005,"Mujhe joh sahi lagta hai main karta hoon ... woh chahe bhagwan ke khilaaf ho, samaaj ke khilaaf ho, police, kanoon ... yah phir poore system ke khilaaf kyun na ho","I do what I feel is right ... whether it is against God, against the society, police, law ... or it may be against the whole system"

Sarkar,Release Year - 2005,Nazdiki fayda dekhne se pehle ... door ka nuksaan sochna chahiye,Before you claim the shorterm profit ... you should think about the longterm loss

Sarkar,Release Year - 2005,Jiske paas power hai ... uska wrong bhi right ho jaata hai,The one who has the power ... even his wrong becomes the right

Sarkar,Release Year - 2005,Main kisiko soochne se nahi ... karne se rokta hoon,I don't stop anyone from thinking ... I stop them from doing

Sharaabi,Release Year - 1984,Yeh insaan nahi hai ... yeh toh machine hai ... aaisi machine joh sirf note chaapti hai aur note khaati hai,He is not a human ... he is a machine ... a machine that prints money and that eats money

Sharaabi,Release Year - 1984,Sharaab ki botal pe agar main label ki tarah chipak gaya hoon ... toh is label ko chipkane waale aap hai,If I am stuck as a label on an alcohol bottle ... then you are the person who stuck this label

Sharaabi,Release Year - 1984,Aaj itni bhi maisir nahi maikhane mein ... jitni hum chhod diya karte the paimane mein,Today there is not even that much alcohol in the bar ... how much I used to leave over in a glass

Sharaabi,Release Year - 1984,Kalakar sirf taarif ka bhooka hota hai ... paise ka nahi,A performer is only hungry of appreciation ... not of money

Silsila,Release Year - 1981,"Main aur meri tanhayi, aksar yeh baatein karte hai ... tum hoti toh kaisa hota ... tum yeh kehti, tum woh kehti, tum is baat pe hairaan hoti, tum us baat pe kitni hasti ... tum hoti toh aaisa hota, tum hoti toh waisa hota ... main aur meri tanhayi, aksar yeh baatein karte hai","Me and my loneliness, often we talk ... if you were here then how would it have been ... you would have said this and said that, you would have been surprised at this, how much would you have laughed on this ... if you were here then this would have happened and that would have happened ... me and my loneliness, often we talk"

Silsila,Release Year - 1981,Phool khamosh rehkar bhi apne rang aur khusboo se bahut kuch keh jaate hai,A flower stays quiet but it still says a lot with its colour and fragrance

Silsila,Release Year - 1981,Woh baat joh lafzo mein ada ho jaye ... woh baat hi kya hui,The thing that can be said with words ... is not a thing at all

Silsila,Release Year - 1981,"Haadsa banke koi khwaab bhikar jaye toh kya ho ... waqt jazbaat ko tabdeel nahi kar sakta ... door ho jaane se ehsaas nahi mar sakta ... yeh mohabbat hai dilon ka rishta ... aaisa rishta joh zameenon ki tarah sarhadon mein kabhi taqseem nahi ho sakta ... tu kisi aur ki raaton ka haseen chand sahi ... meri duniya ke har rang mein shamil tu hai ... tujhse roshan hai mere khwaab, meri umeedein ... main kisi raah se guzron, meri manzil tu hai","So what if a dream turns into an incident and scatters ... time cannot change the emotions ... the feeling doesn't die when one becomes distant ... this love is a relationship of hearts ... a relationship which cannot be distributed like land on the borders ... you may be the beautiful moon of someone else's nights ... but you are present in every colour of my world ... my dreams, my hopes are enlightened because of you ... whichever path I may pass through, but you are my destination"

Namak Halaal,Release Year - 1982,"Paapi ko mat maaro ... paapi ke dil ke andhar joh shaitaan behta hua hai, usse maaro",Don't kill the sinful ... kill the devil that is sitting inside the heart of the sinful

Namak Halaal,Release Year - 1982,"Bhai bahut badiyan, bahut badiyan, bahut badiyan!","Very good brother, very good, very good!"

Namak Halaal,Release Year - 1982,"I can talk english, I can walk english, I can laugh english ... because english is a very funny language","I can talk english, I can walk english, I can laugh english ... because english is a very funny language"

Namak Halaal,Release Year - 1982,Yeh prem rog hai ... shuru mein dukh deta hai ... bad mein bahut dukh deta hai,This is the disease of love ... in the start it gives sorrow ... and later it gives a lot of sorrow

Bodyguard,Release Year - 2011,Mujhpar ek ehsaan karna ... ki mujhpar koi ehsaan na karna,Do a favor for me that ... don't do any favor for me

Bodyguard,Release Year - 2011,Meri ek khasiyat hai ki main maarta kam hoon ... aur ghaseet-ta zyada hoon,I have a speciality that I hit less ... and I drag more

